,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Austria,0.0002358533181337005,0.0203048828541339,0.005423585238254419,0.021621426192435778,0.00413298045526071,0.002197022128123816,0.025086517523833108,0.0001268105362148364,0.0010385828467629065,0.0974666991813286
Belgia,0.002209376283010259,0.013364971546662493,0.02434343430125095,0.05860737682524108,0.00012659938529009033,0.010571202379685207,0.008197468964571809,0.03214055214545625,0.008226562229014453,0.0277872406999738
Bulgaria,0.0700369003877886,0.15024117852694327,0.0022192080615797863,0.020020009760200554,0.1490944678980735,0.009376844899513839,0.0002704384554126486,0.026844823065672173,0.010547387664400902,0.07070505632018714
Croatia,0.013720990898284916,0.01652552626075431,1.3892756773927746e-05,0.13012478027226207,0.012412795771818187,0.008881913607153282,0.0005782469915402793,0.02317278327544804,0.001100062949890385,0.020579318327032425
Cipru,0.002312733081847119,0.014172463495609309,0.08449438040148065,0.017763436311899396,0.00024578452316348967,0.07462719741922698,0.03305687314087663,0.0014011794351901138,0.05963600902896251,1.2604706634827495e-05
Cehia,0.005059047176759065,0.0021961374619007584,0.003994237065292987,0.019349689387426847,0.010665494236826124,0.09039641963870375,0.0077591289094933345,0.0013105476931500747,0.00987680594203512,0.09025485879414527
Danemarca,0.0024223529992884875,0.06431898194398109,0.004407129583774207,0.005648643561754063,0.0224028406620638,0.0011511931309141578,0.124619903086783,0.009597596788025969,0.009021343546194998,0.03559084129158554
Estonia,0.016568457504993122,0.009484405934946517,0.003728251589271825,0.0001875895726176187,0.040859035854887794,0.021138219741092413,0.0497806159453929,5.413136324033467e-05,0.000910588015797561,1.4026410957553919e-05
Finlanda,0.00044038016921138853,0.01969226859970669,0.0009105593923885063,0.07736981043369166,0.01187825748339621,0.012498064231936277,0.00037971734038601615,0.015762366815537977,0.0052422678882008845,0.013886829355123715
Franta,0.16303778267095967,0.038464561890116024,0.014092180994209457,0.005879164953151495,0.012577568012474744,0.022636218857444046,0.020480853183776696,0.0017122300712243735,0.032775027619403624,0.05200317837763557
Germania,0.2452881662135812,0.05666811417154445,0.14587948306846482,0.013035739438706439,0.004008002869300454,0.009145860783098496,0.013573585576427261,9.815184743663e-05,0.1104112200203828,0.014317256154971873
Grecia,0.003327559756998017,0.006645346525924266,0.37766617265118674,0.03724339931470042,0.0008228341954446015,0.06842653225191019,0.001060455671127719,0.007999482443296903,0.08141376286232949,0.002812642269857673
Ungaria,0.016426232655503727,0.02350172969197579,0.021677808418673165,0.09765028620305585,0.008876101095880514,0.009891010858894782,0.01816126709305441,0.04232775835481877,7.760569564635857e-07,0.055717568209775116
Irlanda,0.00181771797987135,0.036680788469717396,2.666097307181798e-05,0.10228975440375287,0.10580732389595073,0.04604503859217037,0.04813560047682645,0.003001758196305753,0.004690922609543852,0.012282454686434267
Italia,0.10950486771079286,0.042321312439142514,0.0394353918463803,0.001033029995687218,0.0056086616403216915,0.00013872576858742707,0.05126315557809013,0.023566060456068905,0.05044882615981233,0.05259819756929166
Letonia,0.0669387075854287,0.003178141095027386,0.017847849669949605,0.03417542351297001,0.1081501772179288,0.04915731974433268,0.06540500708531735,0.006415288131980652,0.01228916750055416,0.0005476647487254548
Lituania,0.062401670017108855,0.007137772570880408,0.04690967466347791,0.0002057575476915327,0.1429740491367653,0.09953504171882109,0.01523537403546712,0.025260711220293868,0.0011743737360060767,0.0010399140721687973
Luxemburg,0.000909452344202313,0.19402831350194735,0.004718976556113615,0.017339329495211473,0.09219960879548005,0.05224957247351791,2.9133326106685657e-06,0.30962331303112123,0.0017663471461306464,0.03127800045735125
Malta,0.003393851309710952,0.02953899203112195,0.028475303622707556,0.030475010683033158,0.0031309921013817324,0.16844916597144352,0.01755506939655462,0.04307048468675484,0.0012827141494205954,0.011132529299715185
Olanda,0.005014702782829553,0.025840916502351877,0.015102412893693691,0.01771570883810119,0.0013997562398434735,0.00789178400492913,0.0028905020177834714,0.05096633758199001,0.010387039005629983,0.08524721662779851
Polonia,0.00030878343071092176,0.022934997937678087,0.0030501173291405904,0.0017417962997245818,0.01473307510501094,0.11727461248201737,0.004877488046823591,0.16080241288499753,0.13259827662741705,0.06118448936782535
Portugalia,0.00443415574688604,0.00069178538494442,0.02712111778426994,0.006082528629203094,0.03884468761523857,0.03357652718801336,0.14989664446950263,0.05998372298017954,0.05998584124216582,0.01953304526244198
Romania,0.052117786482413636,0.09425794335729937,7.293017080949232e-05,0.17056296894009196,0.021609784905912248,0.002372272236457128,0.005462056521802695,0.01153071709135444,0.04304151230149173,0.07340703226598938
Slovenia,0.013751831890745516,0.003853015309920374,0.007889730065927903,0.013204226675232817,0.03408775525419905,2.4264750515054493e-08,0.14579035968540965,0.05599683177262314,0.034284390112124204,0.007556093754090984
Slovacia,0.011560404026952017,0.005739746382236848,0.0007748406342715382,0.04351343149494934,0.010694953519398575,0.004949797987960501,0.05707166723055424,0.0015328722505000495,0.009997778747105586,0.011964697728030278
Spania,0.08686126439989808,1.141279573776842e-05,0.08171000397385861,0.0037182627074110013,0.055060278015918014,0.036142724638413656,0.09545133854728824,0.015923655329723226,0.24641820743061493,0.07176158733262943
Suedia,0.0028619341390530295,0.06116725628075723,0.0009776292566879526,0.01640438151275959,0.05055909707573343,0.004242655963849963,0.0009207146562553641,0.03274038351435117,0.02439716952459937,0.04228191969126024
