,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
ChEdu,0.8106610244289154,0.8920448775312607,0.9887271472891765,1.006892673037587,1.008848976991932,1.0098512990833846,1.0098543567962375,1.0150801045122675,1.0384132040019314,1.0384615384615383
PIB,0.12763126938973518,0.6904057758195623,0.7367513853687818,0.7780204509577128,0.930202533173744,0.9975604299458696,1.0069321412373393,1.0381184837666861,1.0384574130141524,1.0384615384615399
PersNet ,0.09270637843401675,0.7968414545639801,0.8991862668644486,0.8993965986707714,0.9090779268934783,0.912145134907831,1.0286103090335228,1.037420004906521,1.038456787058667,1.0384615384615385
AngStudSup,0.11717540719679106,0.2105174542609904,0.21945503419693885,0.7328975497019001,1.0251849881696513,1.0336246241180662,1.0366081636968971,1.0383001449542075,1.038461087326575,1.038461538461539
SV,0.5062844513392607,0.8468377037054473,0.927542451958337,0.9275658748972346,0.9275963970279976,0.9276151258680174,1.0080377405333327,1.036501517087877,1.0384586810432646,1.038461538461538
PopServSanBaz ,0.307531327815521,0.49482982350712923,0.5071415789428564,0.7512082878083999,0.8607618915570452,1.0203017139359654,1.0205550175901619,1.037644369877238,1.0384591305164639,1.0384615384615392
Pop,0.7430160732551752,0.9726194997088642,0.9935652669197167,1.018598711306802,1.0230786647718604,1.0234557615912308,1.0237399049863094,1.0289754342716668,1.0374779659517057,1.0384615384615394
 RSinucid,0.10966677238028938,0.10969214568647478,0.6097053440932889,0.7177342560722715,0.8914571200595961,1.0133824086592276,1.0381234585786567,1.0381264902842595,1.0384614270741983,1.0384615384615392
RS,0.11271530423212982,0.11584677360575536,0.679656357458397,0.7005272644982256,0.7656233228361379,1.0278103336587423,1.036753659887569,1.0380727685992335,1.0384598132066925,1.0384615384615385
PopUrb,0.7926613958511677,0.98174293195799,1.005957277303111,1.0265057906091302,1.032635317207463,1.0329388613598072,1.0337782180667476,1.0341455969347289,1.0369916596248105,1.038461538461539
