,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
ChEdu,0.9003671609009934,-0.28527855352680354,-0.31093772649505863,0.13477954499259304,0.04423012496415984,0.03165947080184088,-0.0017486317087973635,-0.07228933334891055,0.15275175773019378,-0.00695229887209621
PIB,0.35725518805153156,0.7501829819649518,-0.215280304601279,0.2031478909290739,-0.3901052194165457,0.25953399926045445,-0.09680759934772526,0.176596552993955,0.018410031164185346,0.0020311197373799527
PersNet ,0.3044772215355637,0.8391275684483042,-0.3199137575979946,0.014502820633338812,0.09839374076996432,0.055382379998991337,0.3412699431911515,-0.09385998014595072,-0.03219910172886885,-0.002179771288825535
AngStudSup,-0.34230893531544143,0.30551930718728615,0.09453877477494863,0.7165490321708357,0.5406361423987035,-0.09186749124916192,-0.05462178666824165,0.0411336997765884,0.012686306490359733,0.0006716658128300615
SV,0.7115366830594616,0.5835694066400213,0.2840858114248046,-0.004839725084930966,-0.005524683770397457,-0.004327682985135683,-0.2835888126589542,-0.16871211146371337,-0.044239845788468526,-0.0016903899767739456
PopServSanBaz ,0.55455507194103,0.43277996221129306,0.11095835000452736,-0.4940310808699625,0.33098882722630574,-0.399424363777324,-0.015915516146093392,0.1307262494186841,0.028544012318276905,0.001551755481798591
Pop,0.8619838010398891,-0.47916951745044156,-0.1447265255951807,0.1582196080992661,0.06693245449748866,-0.019418980904526838,0.016856553475688194,0.07235695740809911,-0.09220917351347878,-0.03136195959811372
 RSinucid,-0.3311597384651241,-0.005037192291882853,-0.7071161138079192,-0.32867751973474335,0.41680074854458293,0.34917801849433683,-0.15729287943015455,-0.0017411793712432011,-0.018301278368974935,-0.0003337474207133972
RS,0.33573099980807525,-0.05595953335782519,0.7508725483413557,-0.14446766780089065,0.2551392920306716,0.5120420010337086,0.09456916108767625,0.03631953622590045,0.019673449302524192,-0.0013134895683207973
PopUrb,0.8903153350645869,-0.4348350677059319,-0.15560959271561942,0.14334752633379932,0.0782912932472876,0.017422518541937493,0.0289716535071866,0.01916712988376821,-0.053348502229038176,0.038338998900967
