,ChEdu,PIB,PersNet ,AngStudSup,SV,PopServSanBaz ,Pop, RSinucid,RS,PopUrb
Austria,-0.10333017545685816,0.6473618614200058,0.4333627950971714,-0.4994045275944298,0.6253578700055242,0.6941280263849305,-0.3518105809308884,0.394317633020285,-0.47606983430503325,-0.42738432724902997
Belgia,0.13555580712466692,0.4924664255144058,0.7835618412374109,-0.976799893564921,0.6080937395666368,0.5677793716045573,-0.23233835648771492,1.1489599996625548,-0.2087286818349106,-0.06632882250922671
Bulgaria,-0.5797825339519218,-1.12169817240545,-2.315409290582244,-0.7482588371868114,-1.937002178196362,-2.9279221346376665,-0.4390044788954767,-0.6050736092897476,-0.5559648913650699,-0.42381758208113735
Croatia,-0.5899576427982253,-0.8828418513410217,-0.7702847497612962,-1.7233666948367166,-0.6294716456854754,-0.1931672370793557,-0.5722803962832148,0.7614409465219294,0.17845505622526692,-0.5981023700934106
Cipru,-0.6129918907617274,-0.312281983404454,0.19900506238793733,1.0445151155300034,0.3233446656747398,0.5443199559671816,-0.7035493271987675,-1.849213727267543,0.31673496267533036,-0.6889237026879808
Cehia,-0.43433255590592834,-0.5157798376685516,-0.5222442547660104,-0.6162139711978964,-0.3668751721875855,0.4762574929186295,-0.2697548778842185,-0.09518011831524122,-1.238145763185383,-0.26716176914721285
Danemarca,-0.015243422752546287,1.0721518084256383,1.8621016052173491,-0.5171798366921266,0.4054673949515708,0.5966228770223924,-0.4921836904362656,-0.40111621289994503,-0.31320683337495875,-0.4321292967182379
Estonia,-0.6104142422890746,-0.5273446992216874,0.777107870887201,0.8769196338850338,-0.6022124931452123,0.47850755432079817,-0.6976732056341252,0.4555048519372259,-0.4883613815450389,-0.6820493491044923
Finlanda,-0.26841800595109216,0.5842199275254631,0.6908437463926456,-1.251049159695049,0.6226319525162507,0.5578523065934234,-0.5055921129610647,0.537087810493147,0.19996526389527686,-0.4558324848730409
Franta,2.628106137424427,0.2280932968078016,-0.1790437544666423,-0.5146399525192173,0.9179394060821161,0.3502346510927646,2.320981530157756,0.23115171590844316,0.7285017952155192,2.4930274273661057
Germania,3.6074459148176574,0.5014098631077211,0.4864239920536978,-1.1672504501140668,0.3082430951525334,0.5000622520582356,3.0465003856374007,-0.07478437867626067,-0.8909095536552235,3.089135615799772
Grecia,-0.4932248510955203,-0.7147963933788122,-1.243362022351738,-0.6644601276058292,0.6798761676352104,0.4390058335188586,-0.2674785012499061,-1.5432776326828392,3.463371056116773,-0.23009735913678916
Ungaria,-0.47767533779769744,-0.8202360681579793,-0.5909802400172158,-1.4618129694584667,-1.5244803843541277,0.1782534103994853,-0.3110004212026838,0.8022324257998905,-0.8048687229751841,-0.3200195377786713
Irlanda,-0.33496629038957515,2.0003559133235616,0.32897176660110466,0.6026703677549058,0.815263275029941,-1.5451208921840693,-0.5324837809793719,-0.6254693489287279,-0.3347170410449684,-0.5504053798002876
Italia,1.2650164320949693,-0.07691347997004087,-1.1838496891420303,-1.0605986031459032,1.148733539916925,0.6714079722083989,1.9766381231000896,-1.2169457984591552,1.201726363955736,1.7774426773251113
Letonia,-0.6130679112644744,-0.7678621352758627,0.20897387792528896,1.7631490136081382,-1.81615328375124,-1.268945680352624,-0.6707971982371757,1.5160833131641995,0.08319556511522307,-0.6588780607037148
Lituania,-0.5973067944698012,-0.6953620470950521,-0.4230197740430061,1.13339165340047,-1.482683022589676,-0.8788297205432157,-0.6304864383233783,2.739827691503015,0.06783113106521607,-0.6237524458253428
Luxemburg,-0.5895856040103963,3.421934964757777,1.7336097167968982,0.2573198703126688,0.8688729359801476,0.07649242458883683,-0.7300429315285876,-0.27874177506606324,-0.13805228520487833,-0.7029142906581923
Malta,-0.6285865127817577,-0.22884231683818437,0.15944024211914984,1.4584288976284352,0.9261171510991073,0.6919944627133621,-0.7353519279601441,-1.3393202362930368,-0.7434109867751559,-0.7081712857883679
Olanda,0.354439388596271,0.7512087569132315,1.201759198255203,0.43253500193702704,0.7071353164500536,0.10249136714552332,0.03581058691850527,-0.17676307687116197,-0.8171602702151898,0.21166243426893752
Polonia,-0.03463025028014835,-0.8643560931583726,-0.5820680138792529,0.402062214570457,-0.8411843719970176,0.7012145509811876,0.9800545179990966,-0.27874177506606324,-0.8478891383152038,0.6197094585015814
Portugalia,-0.36798224857718914,-0.5302599000567151,-1.2884459745475005,1.2679783410792893,0.21192743575839565,0.5988284707873892,-0.2874123200476255,-0.23795029578810287,0.1292888672652443,-0.33404910039245445
Romania,-0.4785086604172793,-0.9889112720442167,-1.5228482547651614,0.9657961717555006,-1.7343758335812958,-2.869425726591646,0.1286191839701593,-0.6050736092897476,-0.654297269285115,-0.11315486340088765
Slovenia,-0.5866213470475314,-0.41540932736673947,-0.21115791686026408,0.3995223303975477,0.4345438208507931,0.2053276730768824,-0.6628037331901957,1.4548960942472586,-0.4883613815450389,-0.6684434497918235
Slovacia,-0.5506857178047334,-0.7073311517136498,-0.246507420296343,-1.0021929125856723,-0.9847492244087446,0.0602843317952182,-0.5086811476282291,-0.1155758579542214,-0.08888609624485574,-0.5621964888010622
Spania,0.6908247592220433,-0.2565808871525619,0.8450786124683287,0.25985975194623895,1.2559528580919126,0.6761962309672633,1.3998711758825253,-1.0129884020693525,2.4769743901063213,1.5229565818104427
Suedia,0.285923556523446,0.7276047984537417,1.3689810280392871,1.3390795723913984,1.0596869851348787,0.5161501752432476,-0.2877500766064984,0.41471337265926517,0.2429856792352965,-0.2001222285305878
